date,open price,high price,low price,close,wap,no.of shares,no. of trades,total turnover (rs.),deliverable quantity,% deli. qty to traded qty,spread high-low,spread close-open
31-July-2018,1943.6,1948.5,1929.05,1941.25,1934.6999196302995,89586,7227,173322027.0,46685.0,52.11,19.45,-2.35
30-July-2018,1948.55,1955.3,1935.0,1944.95,1943.4364358859964,96383,5887,187314234.0,28663.0,29.74,20.3,-3.6
27-July-2018,1965.0,1966.8,1940.0,1943.1,1948.065559506696,132170,7148,257475825.0,67227.0,50.86,26.8,-21.9
26-July-2018,1975.0,1985.05,1955.55,1963.3,1969.3955121391975,83737,4277,164911272.0,38383.0,45.84,29.5,-11.7
25-July-2018,2000.15,2003.0,1971.0,1979.4,1979.6795620038324,91325,5758,180794236.0,34064.0,37.3,32.0,-20.75
24-July-2018,2009.05,2012.0,1987.0,1996.85,1996.7991508708587,59826,3756,119460506.0,17730.0,29.64,25.0,-12.2
23-July-2018,2000.0,2008.85,1991.2,2005.05,2005.09609192207,86334,4188,173107966.0,36751.0,42.57,17.65,5.05
20-July-2018,1983.05,2000.0,1983.0,1995.95,1993.2018820053313,62274,3603,124124654.0,21386.0,34.34,17.0,12.9
19-July-2018,1999.0,2009.95,1970.55,1981.45,1984.8864190707343,83227,4013,165196142.0,25400.0,30.52,39.4,-17.55
18-July-2018,2005.5,2009.9,1993.0,1997.3,1999.5836654662887,78031,3924,156029513.0,27822.0,35.66,16.9,-8.2
17-July-2018,1988.0,2005.45,1982.0,1997.85,1994.7309101704975,117890,5198,235158827.0,38259.0,32.45,23.45,9.85
16-July-2018,1985.05,1996.0,1978.4,1988.8,1988.2956905781584,112080,5663,222848181.0,39625.0,35.35,17.6,3.75
13-July-2018,1975.0,1998.0,1975.0,1981.25,1983.5941254007687,975624,8702,1935242035.0,801754.0,82.18,23.0,6.25
12-July-2018,1984.0,1992.0,1961.5,1971.0,1972.8067004149375,602500,13828,1188616037.0,359504.0,59.67,30.5,-13.0
11-July-2018,1900.0,1995.0,1894.0,1979.6,1956.985751229303,1157363,44817,2264942900.0,294374.0,25.43,101.0,79.6
10-July-2018,1895.2,1900.0,1872.6,1877.0,1882.5938293550023,433180,18579,815501995.0,209864.0,48.45,27.4,-18.2
9-July-2018,1927.95,1930.0,1882.0,1887.65,1890.6549335070524,374551,11215,708146696.0,206640.0,55.17,48.0,-40.3
